sample	segments	clonality	ploidy	homozygousLoss	segvariance	grid_ploidy	grid_purity	use
IM_170	225	0.168150660700396	3.27	0.161133245468794	0.547032740100074	3.3	0.73	TRUE
IM_171	252	0.177252844440873	3.175	0.164233879832553	0.422444036019299	3.2	0.84	TRUE
IM_172	348	0.169477761511737	1.987	0.115961447443278	0.104542910721916	2	1	FALSE
IM_172	348	0.203829506464334	5.265	0.00541872647741345	0.819279994647232	5.3	0.87	FALSE
IM_172	348	0.208487348916873	2.981	0.00541872647741345	0.235221549124312	3	1	FALSE
IM_174	329	0.175258323731103	2.899	0.0356366964087764	0.299783330428164	2.9	0.71	FALSE
IM_174	329	0.214750299835534	1.999	5.75911710627658	0.205437005052232	2	0.65	FALSE
IM_175	221	0.189209114630205	4.442	0	0.928402681658283	4.4	0.95	FALSE
IM_175	221	0.197161379084424	2.074	0	0.193048340013297	2.1	1	FALSE
IM_175	221	0.215028881388701	3.548	0	0.747263207429146	3.5	0.79	FALSE
IM_175	221	0.221261628651337	2.864	0	0.368148875172749	2.9	1	FALSE
IM_176	263	0.181740180648881	5.415	0	1.79168297460254	5.4	0.81	FALSE
IM_176	263	0.190138356154034	6.506	0	2.19041355747638	6.5	1	FALSE
IM_176	263	0.190340927492927	4.422	0	1.51287598550727	4.4	0.67	FALSE
IM_176	263	0.203098854489246	1.972	0	0.201139904267803	2	1	FALSE
IM_177	225	0.1657132351532	2.071	0	0.201982592709805	2.1	1	FALSE
IM_177	225	0.201810471751515	6.506	0	2.05924019726672	6.5	0.95	FALSE
IM_177	225	0.211865475169526	2.958	0	0.412209372877153	3	1	FALSE
IM_177	225	0.212805938704408	5.415	0	1.7028057029601	5.4	0.77	FALSE
IM_178	233	0.16139616018041	7.517	0	2.41117555260221	7.5	0.77	FALSE
IM_178	233	0.164084814102849	2.079	0	0.158239495998376	2.1	1	FALSE
IM_178	233	0.170770504993932	6.522	0	2.14127909827394	6.5	0.64	FALSE
IM_178	233	0.181673385701469	5.429	0	1.76262594115578	5.4	0.57	FALSE
IM_18	216	0.129336637953073	1.774	0.102598412482183	0.257543545347248	1.8	0.92	TRUE
IM_18	216	0.177114117887803	3.644	0	1.16598568088871	3.6	0.8	FALSE
IM_180	122	0.0768149418438631	2.568	0.0324443233037756	0.306402108702176	2.6	0.98	TRUE
IM_180	122	0.106307898248613	5.233	0.0324443233037756	1.31647054156677	5.2	0.92	FALSE
IM_181	221	0.174268143470447	2.672	0.057440053717081	0.545863704114016	2.7	0.87	TRUE
IM_181	221	0.180816510667925	6.439	0.0325132427244054	2.56449158439155	6.4	1	FALSE
IM_182	160	0.0850003604290023	2.691	0.112827568294137	0.374147418343843	2.7	0.82	TRUE
IM_182	160	0.152299860622277	3.69	0.0325463986313949	0.519824591146709	3.7	1	FALSE
IM_183	149	0.157345586158074	2.56	0.167654503591241	0.658178617064307	2.6	0.55	FALSE
IM_186	176	0.128257398328814	3.388	0	0.192181018025744	3.4	0.72	TRUE
IM_186	176	0.195911144935615	7.874	0	0.878116647314113	7.9	0.66	FALSE
IM_187	173	0.0779099005937313	3.783	0	0.190473530779653	3.8	0.79	TRUE
IM_187	173	0.103163537442447	7.567	0	0.764293734178229	7.6	0.65	FALSE
IM_19	283	0.178592457752324	1.769	0.568813356853709	0.308730260114121	1.8	0.84	FALSE
IM_19	283	0.208002751828822	5.311	0	2.50861949245928	5.3	0.71	FALSE
IM_19	283	0.208237408501422	4.311	0.0874267125537457	2.47378346929198	4.3	0.53	FALSE
IM_190	184	0.0805313099330856	1.888	0.011888350494975	0.0739511681362084	1.9	0.9	TRUE
IM_190	184	0.101541434305602	5.764	0.011888350494975	0.710430695147835	5.8	0.72	FALSE
IM_190	184	0.102321420289342	3.876	0.011888350494975	0.317884004891523	3.9	0.8	FALSE
IM_190	184	0.119990716035671	4.767	0.011888350494975	0.596202343829064	4.8	0.62	FALSE
IM_193	187	0.178235820518934	6.314	0.00540385081329216	0.864097807712718	6.3	0.64	TRUE
IM_193	187	0.178447670926982	5.314	0.00540385081329216	0.873693489939476	5.3	0.48	FALSE
IM_194	157	0.208330702123521	2.663	0.00540350035603883	0.411843856756505	2.7	0.58	FALSE
IM_195	412	0.142493155282831	4.561	0	0.322576895805967	4.6	0.82	TRUE
IM_195	412	0.173092327327531	5.656	0	0.412752819645338	5.7	1	FALSE
IM_196	203	0.153559878471099	3.272	0.00655354506146518	0.339602399778363	3.3	0.75	FALSE
IM_196	203	0.205829573399669	1.684	1.54009146346508	0.113918315017081	1.7	0.77	TRUE
IM_198	67	0.159843795899714	2.559	0.0119117803880698	0.528672716750353	2.6	0.56	TRUE
IM_199	82	0.0884337050587145	2.74	0.034669072867706	0.83896272761281	2.7	0.5	FALSE
IM_202	227	0.0708852313924886	3.279	0	0.247441545157012	3.3	0.83	TRUE
IM_202	227	0.130555243493358	6.46	0	0.897270559428154	6.5	0.78	FALSE
IM_204	231	0.216000803697265	3.581	0	0.398128124220617	3.6	0.8	TRUE
IM_205	199	0.151524764940995	2.782	0.0270488162952716	0.247398633077947	2.8	0.78	TRUE
IM_206	138	0.212765380658226	2.471	0	0.363974435785054	2.5	0.65	FALSE
IM_207	748	0.0689013221137009	2.095	0.0174318207711423	0.122259205497744	2.1	0.8	TRUE
IM_207	748	0.105988111742454	4.09	0.0174318207711423	0.459619741705805	4.1	0.68	FALSE
IM_208	464	0.129469686098893	3.369	0.00548488631401809	0.214770828172549	3.4	0.71	TRUE
IM_208	464	0.157158124987288	4.466	0	0.253718002823999	4.5	0.96	FALSE
IM_208	464	0.177820198272338	7.738	0	0.85168372331604	7.7	0.77	FALSE
IM_209	216	0.230718222495725	2.568	0	0.299452125859802	2.6	0.68	FALSE
IM_21	303	0.11597646269171	1.984	0.41626551126024	0.240445007283726	2	0.42	TRUE
IM_21	303	0.115978443041097	2.984	0.014055618959679	0.241625995436447	3	0.53	FALSE
IM_21	303	0.115979105263618	3.984	0	0.242050645610143	4	0.72	FALSE
IM_21	303	0.118001964400556	4.984	0	0.265090620530308	5	1	FALSE
IM_210	235	0.199951228283669	2.471	0	0.260568725331606	2.5	0.84	FALSE
